DATE,FEDFUNDS
1977-01-01,5.5375000000000000
1978-01-01,7.9308333333333333
1979-01-01,11.1941666666666667
1980-01-01,13.3558333333333333
1981-01-01,16.3783333333333333
1982-01-01,12.2583333333333333
1983-01-01,9.0866666666666667
1984-01-01,10.2250000000000000
1985-01-01,8.1008333333333333
1986-01-01,6.8050000000000000
1987-01-01,6.6575000000000000
1988-01-01,7.5683333333333333
1989-01-01,9.2166666666666667
1990-01-01,8.0991666666666667
1991-01-01,5.6875000000000000
1992-01-01,3.5216666666666667
1993-01-01,3.0225000000000000
1994-01-01,4.2016666666666667
1995-01-01,5.8366666666666667
1996-01-01,5.2983333333333333
1997-01-01,5.4600000000000000
1998-01-01,5.3533333333333333
1999-01-01,4.9700000000000000
2000-01-01,6.2358333333333333
2001-01-01,3.8875000000000000
2002-01-01,1.6666666666666667
2003-01-01,1.1275000000000000
2004-01-01,1.3491666666666667
2005-01-01,3.2133333333333333
2006-01-01,4.9641666666666667
2007-01-01,5.0191666666666667
2008-01-01,1.9275000000000000
2009-01-01,0.16000000000000000000
2010-01-01,0.17500000000000000000
2011-01-01,0.10166666666666666667
2012-01-01,0.14000000000000000000
2013-01-01,0.10750000000000000000
2014-01-01,0.08916666666666666667
2015-01-01,0.13250000000000000000
2016-01-01,0.39500000000000000000
2017-01-01,1.00166666666666666667
