DATE,GDPC1_GDPPOT
1977-01-01,-0.76443526264765284255
1978-01-01,1.2104250285864017
1979-01-01,0.84684006535478039538
1980-01-01,-2.1634513012716750
1981-01-01,-2.1901542842663064
1982-01-01,-6.7794378756168447
1983-01-01,-5.5292715639387047
1984-01-01,-2.0943897575410386
1985-01-01,-1.5947574189109069
1986-01-01,-1.6365316468433840
1987-01-01,-1.5022287192755019
1988-01-01,-0.51634018025935223495
1989-01-01,0.12325067369890376098
1990-01-01,-0.81828674779243091154
1991-01-01,-3.4475794985152417
1992-01-01,-2.4963164600032118
1993-01-01,-2.3608330767074159
1994-01-01,-1.09727828527083041990
1995-01-01,-1.16629219362146876568
1996-01-01,-0.36392017224952304527
1997-01-01,0.52170643921658619607
1998-01-01,0.97680323210592889692
1999-01-01,1.49251653931130698684
2000-01-01,1.43130043678000492933
2001-01-01,-1.06761415923631535443
2002-01-01,-2.1131240307277565
2003-01-01,-1.8032942570398743
2004-01-01,-0.63794124317484243692
2005-01-01,0.25948696417956059183
2006-01-01,0.79226975291474041148
2007-01-01,0.64586346596077546783
2008-01-01,-1.3313357122356790
2009-01-01,-5.2353363950548846
2010-01-01,-4.0207820915063434
2011-01-01,-3.8975735118456502
2012-01-01,-3.2771132212368573
2013-01-01,-3.1516663658226736
2014-01-01,-2.4437943407705602
2015-01-01,-1.2336808965783826
2016-01-01,-1.2479907633595439
2017-01-01,-0.58186859693657048604
